reference_id,case_id,reference_row,paper,doi,deciding_field,capacity_mAh_g_value,capacity_mAh_g_status,capacity_mAh_g_evidence,material_value,material_status,material_evidence,modifier_value,modifier_status,modifier_evidence,capacity_type_value,capacity_type_status,capacity_type_evidence,cycle_value,cycle_status,cycle_evidence,c_rate_value,c_rate_status,c_rate_evidence,voltage_window_value,voltage_window_status,voltage_window_evidence,cell_type_value,cell_type_status,cell_type_evidence,operating_temperature_value,operating_temperature_status,operating_temperature_evidence,electrolyte_value,electrolyte_status,electrolyte_evidence
v6-B3-02/1,v6-B3-02,1,PAPER 06,10.1149/2.1011507jes,voltage_window,207 (approximately),stated,"Second discharge capacities of ∼161, 180, 198, and 207 mAh/g at C/20",NMC811,stated,NMC811/Li,,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,Second discharge capacities,2,stated,Second discharge capacities,C/20,stated,at C/20,3.0–4.4 V,stated,"Second discharge capacities of ∼161, 180, 198, and 207 mAh/g at C/20 were measured from 3.0–4.1 V, 4.2 V, 4.3 V and 4.4 V, respectively, whereas the second discharge capacities at C/5 within the same potential ranges were ∼150, 169, 188 and 197 mAh/g respectively.","half cell, Li metal",stated_elsewhere,standard 2325 coin cells with lithium metal as the anode,30 °C,stated_elsewhere,"Cells were tested between 3.0 – 4.1, 4.2, 4.3 or 4.4 V (vs. Li/Li+) at 30°C",1.0 M LiPF6 in EC:DEC 1:2 (v/v),stated_elsewhere,"For all cells, the electrolyte used was 1.0 M LiPF6 in 1:2 v/v EC:DEC"
v6-B3-01/1,v6-B3-01,1,PAPER 21,10.1016/j.mtener.2025.101862,cycle,156,stated,"By the end of 100 cycles, LWO-NMC811 maintains a specific discharge capacity of 156 mAh g−1",NMC811,stated,LWO-NMC811,LixWyOz (LWO) coating,stated,The LixWyOz-coated NMC811 (LWO-NMC811),discharge,stated,specific discharge capacity,100,stated,By the end of 100 cycles,1C (200 mA/g),stated_elsewhere,galvanostatic charge-discharge tests (Land Cycler) at 1C (200 mA g−1),3.0–4.6 V,stated_elsewhere,within the voltage range 3.0–4.6 V,"half cell, Li metal",stated_elsewhere,lithium metal foil (MSE Supplies) as the anode,,not_reported,no coin-cell test temperature; 20 °C is given only for the dilatometry cell,1 M LiPF6 in EC:DMC 1:1 (v/v),stated_elsewhere,200 μL of 1 M LiPF6 in 1:1 (v/v %) ethylene carbonate and dimethyl carbonate
v6-B4-05/1,v6-B4-05,1,PAPER 27,10.1039/d3ra04145j,voltage_window,187.4,stated,"rate capabilities of 174, 187.4 and 181.7 mA h g−1 for NCM811-CS-1, NCM811-CS-3, and NCM811-CS-5 at 5C",NCM811,stated,NCM811-CS-3,"3 wt% CoSO4 co-modification (Li2SO4 coating, Co doping)",stated,the co-modified NCM811 cathode with 3 wt% CoSO4,,not_reported,'rate capabilities of ... 187.4 mA h g−1'; not labelled charge or discharge,,not_reported,rate-test step; no cycle index,5C (1C = 200 mA/g),stated,at 5C,2.8–4.5 V,stated_elsewhere,The electrochemical performance of pristine and modied NCM811 materials were tested between 2.8 and 4.5 V vs,"half cell, Li metal",stated_elsewhere,The cells were assembled using lithium metal as the anode,room temperature (no number),stated_elsewhere,"The cycling performance, rate capability and galvanostatic intermittent titration technique (GITT) test were performed using a LANHE CT2001A battery tester (Wuhan, China) at room temperature under various rates. 1C rate corresponds to a current density of 200 mA h g−1 in this work",1 M LiPF6 in EC/DMC/EMC,stated_elsewhere,"The cells were assembled using lithium metal as the anode, microporous membranes (Celgard 2550s) as a separator, 1 mol L−1 LiPF6 in a mixed solution containing ethylene carbonate (EC)/dimethyl carbonate (DMC)/ ethyl methyl carbonate (EMC) with volume ratio of 1 : 1 : 1 as electrolyte"
v6-B3-13/1,v6-B3-13,1,PAPER 30,10.3390/ma16103613,capacity,,not_reported,no capacity after 100 cycles; 'the correlation capacity retention rates were 54.8% and 80.3% after 100 cycles',single-crystal NCM811 (SCNCM),stated,SCNCM/(ALP+BA)-1 electrode,aluminum triphosphate (ALP) + boric acid (BA) coating,stated,SCNCM/(ALP+BA)-1,retention only,stated,capacity retention rates,100,stated,after 100 cycles,1C,stated,ty (mAh g-1) SCNCM ICE:90.9% SCNCM/(ALP+BA)−1 ICE:93.4% e 0.1 C 2.8-4.5 V 55 °C 0 20 40 60 80 100 0 40 80 120 160 200 240 Specific capacity (mAh g-1) Cycle Number SCNCM SCNCM/(ALP+BA)−1 f 1 C 2.8-4.5 V 55 °C 0 50 100 15,2.8–4.5 V,stated,ty (mAh g-1) SCNCM ICE:90.9% SCNCM/(ALP+BA)−1 ICE:93.4% e 0.1 C 2.8-4.5 V 55 °C 0 20 40 60 80 100 0 40 80 120 160 200 240 Specific capacity (mAh g-1) Cycle Number SCNCM SCNCM/(ALP+BA)−1 f 1 C 2.8-4.5 V 55 °C 0 50 100 15,"half cell, Li foil",stated_elsewhere,lithium foil was used as the counter electrode,55 °C,stated,at 4.5 V cut-off voltage and 55 °C,1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),stated_elsewhere,"China, and is prepared by dissolving 1 mol L−1 LiPF6 in a ternary solvent of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC) at a weight ratio of 1:1:1"
v6-B1-14/1,v6-B1-14,1,PAPER 25,10.3390/batteries8070067,capacity,,not_reported,no full-cell capacity in mAh/g; 'capacity retention of 88–90% after 300 cycles at 1C (Figure 13)',NMC811 (CP_A),stated_elsewhere,"in full cells, the difference in capacity retention of the CP7_MW3 and CP_A samples becomes less pronounced. Both materials demonstrate capacity retention of 88– 90% after 300 cycles at 1C (Figure 13).",conventional co-precipitation precursor,stated,MW and CP samples,retention only,stated,capacity retention of 88–90%,300,stated,after 300 cycles,1C,stated,at 1C,1.60–2.65 V (full-cell voltage),stated_elsewhere,in the potential range of 1.60–2.65 V at room temperature,"full cell, Li4Ti5O12 anode",stated,Full cells were assembled with ... Li4Ti5O12 (LTO) as the anode,room temperature (no number),stated_elsewhere,at room temperature,1 M LiPF6 in EC:EMC 2:5 (wt) + 2 wt% VC,stated_elsewhere,1 M LiPF6 solution in ethylene carbonate/ethyl methyl carbonate solution (EC:EMC = 2:5 by weight) + 2 wt.% of vinylene carbonate was used as an electrolyte. ... The full cells were assembled in an Ar- ﬁlled glove box
v6-B1-14/2,v6-B1-14,2,PAPER 25,10.3390/batteries8070067,capacity,,not_reported,no full-cell capacity in mAh/g; 'capacity retention of 88–90% after 300 cycles at 1C (Figure 13)',NMC811 (CP7_MW3),stated_elsewhere,"in full cells, the difference in capacity retention of the CP7_MW3 and CP_A samples becomes less pronounced. Both materials demonstrate capacity retention of 88– 90% after 300 cycles at 1C (Figure 13).",70:30 mix of CP_A and MW_30m_A,stated,MW and CP samples,retention only,stated,capacity retention of 88–90%,300,stated,after 300 cycles,1C,stated,at 1C,1.60–2.65 V (full-cell voltage),stated_elsewhere,in the potential range of 1.60–2.65 V at room temperature,"full cell, Li4Ti5O12 anode",stated,Full cells were assembled with ... Li4Ti5O12 (LTO) as the anode,room temperature (no number),stated_elsewhere,at room temperature,1 M LiPF6 in EC:EMC 2:5 (wt) + 2 wt% VC,stated_elsewhere,1 M LiPF6 solution in ethylene carbonate/ethyl methyl carbonate solution (EC:EMC = 2:5 by weight) + 2 wt.% of vinylene carbonate was used as an electrolyte. ... The full cells were assembled in an Ar- ﬁlled glove box
v6-B3-03/1,v6-B3-03,1,PAPER 24,10.20517/energymater.2023.59,c_rate,110 (approximately),stated,"Even at 15 C, the HR-NCM retained a high discharge capacity of ~110 mAh g-1",NCM811 (HR-NCM),stated,the HR-NCM,high primary-particle length/width ratio,stated,HR-NCM,discharge,stated,discharge capacity of ~110,,not_reported,rate-test step; no cycle index,15C,stated,Even at 15 C,2.7–4.3 V,stated_elsewhere,between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C,"half cell, Li metal",stated_elsewhere,CR2032-type half cells constructed using lithium metal as the anode,25 °C,stated_elsewhere,between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,stated_elsewhere,The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC
v6-B1-10/1,v6-B1-10,1,PAPER 22,10.1038/s41467-023-36853-x,capacity_type,224,stated,A high capacity of 224 mAh g−1 is delivered at 0.2 C when NCM811 cathode is charged to 4.6 V,NCM811,stated,NCM811 cathode,,not_reported,"no coating, dopant or other modification is named for this sample",,not_reported,'a high capacity of 224 mAh g−1 ... when ... charged to 4.6 V'; not labelled charge or discharge,,not_reported,0.2 C covers the first activation cycles; no cycle index,0.2C,stated,delivered at 0.2 C,3.0–4.6 V,stated_elsewhere,The Li|NCM811 cells were cycled at C/2 (1C = 200 mA g−1) charge/discharge between 3 and 4.6 V after the first three activation cycles at C/5 charge/discharge.,"half cell, Li metal",stated_elsewhere,The Li|NCM811 cells were cycled at C/2 (1C = 200 mA g−1) charge/discharge between 3 and 4.6 V after the first three activation cycles at C/5 charge/discharge.,25 °C,stated_elsewhere,cycling tests for coin cells and pouch cells were carried out on a Land instrument in the oven at 25 °C,1 M LiBF4 + 1 M LiDFOB in tFEP/FEC,stated,The compatibility of 1 M LiBF4 + 1 M LiDFOB tFEP/FEC electrolyte with high-voltage cathodes
v6-B1-11/1,v6-B1-11,1,PAPER 28,10.1002/cey2.70076,voltage_window,203.9,stated,exhibited a considerably large discharge capacity of 203.9 mA h g–1 at 0.1 C at 60°C with an ICE of up to 92.8%,NCM811,stated,the SPE‐NCM811 cathode,"SPE coating (high loading, 38.7 mg/cm2)",stated,"with a high mass loading of 38.7 mg cm−2, the SPE‐NCM811 cathode",discharge,stated,discharge capacity of 203.9,,not_reported,the paper gives 203.9 mAh/g with its ICE (92.8%) but never names the cycle; reading ICE as first-cycle is a convention,0.1C,stated,at 0.1 C,,not_reported,"the only window sentence ('2.18–3.68 V ... at 25°C') covers the 25 °C comparison, not the 60 °C tests",all-solid-state cell with a Li–In alloy negative electrode,stated_elsewhere,"The electrochemical characterizations were performed on the NCM811/SSE/LiIn ASSLBs, which were fabricated using bare-/- SPE- NCM811 cathodes, LPSCl SE, and LiIn anode (Figure S9).",60 °C,stated,at 0.1 C at 60°C,Li6PS5Cl (inorganic sulfide solid electrolyte),stated_elsewhere,"The electrochemical characterizations were performed on the NCM811/SSE/LiIn ASSLBs, which were fabricated using bare-/- SPE- NCM811 cathodes, LPSCl SE, and LiIn anode (Figure S9)."
v6-B3-06/1,v6-B3-06,1,PAPER 12,10.1007/s40820-026-02258-w,temperature,187.4,stated,"(2026) 18:411 Page 13 of 21 411 cell delivered discharge capacities of 187.4, 175.5, 174.2, 163.6, 151.9, and 139.7 mAh ­g–1 at 0.1, 0.5, 1, 2, 3, and 5 C, respectively",NCM811,stated,an NCM811 cathode,,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,delivered discharge capacities,,not_reported,first step of a rate test; no cycle index,0.1C,stated,"at 0.1, 0.5, 1, 2, 3, and 5 C, respectively",2.0–4.3 V,stated_elsewhere,The full-cells were tested with an N/P capacity ratio of 1.1 within a range of 2.0–4.3 V,"full cell, Si/a-Sn/CoSi2/G/C anode",stated,a LIB full-cell was assembled by pairing the Si/a-Sn/CoSi2/G/C anode with an NCM811 cathode,room temperature (no number),stated_elsewhere,All LIB measurements were taken at room temperature,,not_reported,composition given only for LIB half-cell tests; the full-cell paragraph names none
v6-B4-02/1,v6-B4-02,1,PAPER 20,10.3389/fenrg.2022.973336,capacity_type,187.3,stated,discharge capacity of 187.3 mAh g−1 at C/8,NCM811,stated,Li/NCM811 coin-cells,,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,discharge capacity of 187.3,,not_reported,rate-test step; no cycle index,C/8,stated,at C/8,2.7–4.5 V,stated,at room temperature and in the voltage range of 2.7–4.5 V,"half cell, Li metal",stated,Li/NCM811 coin-cells,room temperature (no number),stated,at room temperature and in the voltage range of 2.7–4.5 V,1.0 M LiPF6 in EMC:EC 6:1 (v/v),stated_elsewhere,"For comparison, the conventional EC-based electrolyte was composed of 1.0 mol L−1 LiPF6 dissolved in the mixture solvent of EMC and EC in a 6:1 volume ratio (noted as 1 M LiPF6 EMC/EC)."
v6-B3-10/1,v6-B3-10,1,PAPER 21,10.1016/j.mtener.2025.101862,temperature,172,stated,"at 5C, the discharge capacity is 172 mAh g−1 for LWO-NMC811 and 170 mAh g−1 for bare NMC811",LWO-NMC811,stated,LWO-NMC811,LixWyOz (LWO) coating,stated,LWO-NMC811,discharge,stated,the discharge capacity is,,not_reported,rate-test step; no cycle index,5C (discharge; charge at 0.2C),stated,at 5C,3.0–4.6 V,stated_elsewhere,rate capability ... within 3.0–4.6 V,"half cell, Li metal",stated_elsewhere,lithium metal foil (MSE Supplies) as the anode,,not_reported,no coin-cell test temperature; 20 °C is given only for the dilatometry cell,1 M LiPF6 in EC:DMC 1:1 (v/v),stated_elsewhere,1 M LiPF6 in 1:1 (v/v %) ethylene carbonate and dimethyl carbonate
v6-B3-10/2,v6-B3-10,2,PAPER 21,10.1016/j.mtener.2025.101862,temperature,170,stated,"at 5C, the discharge capacity is 172 mAh g−1 for LWO-NMC811 and 170 mAh g−1 for bare NMC811",bare NMC811,stated,bare NMC811,none,stated,bare NMC811,discharge,stated,the discharge capacity is,,not_reported,rate-test step; no cycle index,5C (discharge; charge at 0.2C),stated,at 5C,3.0–4.6 V,stated_elsewhere,rate capability ... within 3.0–4.6 V,"half cell, Li metal",stated_elsewhere,lithium metal foil (MSE Supplies) as the anode,,not_reported,no coin-cell test temperature; 20 °C is given only for the dilatometry cell,1 M LiPF6 in EC:DMC 1:1 (v/v),stated_elsewhere,1 M LiPF6 in 1:1 (v/v %) ethylene carbonate and dimethyl carbonate
v6-B4-01/1,v6-B4-01,1,PAPER 30,10.3390/ma16103613,electrolyte;cell_type,204,stated,The charge/discharge specific capacity of the first circle for SCNCM-FC and SCNCM/(ALP+BA)-FC electrodes are 241/204 and 241/203,single-crystal NCM811 (SCNCM),stated,SCNCM-FC,none,stated,"Accordingly, the bare single-crystal NCM811 and the two treated final samples were designated as SCNCM, SCNCM/(ALP+BA)-1 (10 mg BA), and SCNCM/(ALP+BA)-2 (20 mg BA), respectively.",discharge,stated,charge/discharge specific capacity ... 241/204,1,stated,of the first circle,0.1C,stated,first between 2.8 and 4.3 V at 0.1 C and 25 °C,2.8–4.3 V,stated,between 2.8 and 4.3 V,"full cell, graphite",stated_elsewhere,We assembled full cells with graphite anode,25 °C,stated,at 0.1 C and 25 °C,1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),stated_elsewhere,"The electrolyte was obtained from Capchem Ltd., Co."
v6-B1-01/1,v6-B1-01,1,PAPER 07,10.1002/advs.76317,temperature,185.6,stated,the NCM811|P15 Z30 PEDF|Li shows an initial specific discharge capacity of 185.6 mAh g−1 at 0.5 C,NCM811,stated,NCM811|P15 Z30 PEDF|Li,,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,initial specific discharge capacity,1,stated,initial specific discharge capacity,0.5C,stated,at 0.5 C,,not_reported,no voltage window anywhere in the paper,Li metal negative electrode (NCM811|P15 Z30 PEDF|Li; the paper calls these full cells),stated,the NCM811|P15 Z30 PEDF|Li shows an initial specific discharge capacity of 185.6 mAh g− 1 at 0.5 C,60 °C,stated,even at a high temperature of 60°C,composite solid electrolyte P15 Z30 PEDF,stated,the NCM811|P15 Z30 PEDF|Li shows an initial specific discharge capacity of 185.6 mAh g− 1 at 0.5 C
v6-B2-05/1,v6-B2-05,1,PAPER 02,10.3390/nano15030156,material,183.7,stated,The 50th discharge capacity of the electrode with MWCNTs was 183.7 mAh g−1,NCM811,stated_elsewhere,"In the cell with 88 wt% active material of NCM811 and 2 wt% conductive additive, the capacity retention of the cell with MWCNTs (89.5%) was over 10 times higher than that of the pristine cell (7.5%).",1 wt% MWCNT conductive additive,stated,the electrode with MWCNTs,discharge,stated,The 50th discharge capacity,50,stated,The 50th discharge capacity,0.33C (after 3 cycles at 0.1C),stated,tested at 0.1 C for the 3 cycles and 0.33 C for the next 47 cycles,2.8–4.3 V,stated,between 2.8 and 4.3 V,"half cell, Li metal",stated_elsewhere,"CR-2032 coin-type cell, with Li metal as the anode",30 °C,stated_elsewhere,electrochemical performance tests in a 30 °C chamber,1 M LiPF6 in EC:EMC 3:7 (wt),stated_elsewhere,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte
v6-B2-13/1,v6-B2-13,1,PAPER 23,10.1155/er/6664420,capacity,,not_reported,no 4.0C value for P0.0-NCM811; the text gives 178 mA h g−1 at 4.0 C only for P0.3-NCM811,NCM811 (P0.0-NCM811),stated,P0.0-NCM811,none (P0.0: no PO4(3−) incorporation),stated_elsewhere,"The dried precursors were then mixed with LiOH·H2O in a Li/metal molar ratio of 1.02 and calcined in an O2 atmo- sphere at 780°C for 12 h to obtain the final P0.0-NCM811, P0.3-NCM811, and P0.5-NCM811 cathode materials.",discharge,stated,delivered discharge capacities,,not_reported,rate-test step,4.0C (1C = 180 mA/g),stated,"at current rates of 0.2, 0.5, 1.0, 2.0, and 4.0 C",3.0–4.5 V,stated_elsewhere,within a potential range of 3.0–4.5 V (vs. Li/Li+),"half cell, Li metal",stated_elsewhere,using Li metal as both the counter and reference electrodes,25 °C,stated_elsewhere,Galvanostatic charge–discharge tests were conducted at 25°C,1.0 M LiPF6 in EC/EMC,stated_elsewhere,The electrolyte consisted of 1.0 M LiPF6 dissolved in a mixed sol- vent of ethylene carbonate (EC) and ethyl methyl carbonate (EMC) in a 3:7 volume ratio
v6-B3-11/1,v6-B3-11,1,PAPER 12,10.1007/s40820-026-02258-w,temperature,114.5 (lower end of a range),stated,the cells delivered reversible discharge capacities of 114.5–168.8 mAh g–1 ... over a wide temperature range of 25–80 °C,NCM811,stated,an NCM811 composite cathode,,not_reported,"no coating, dopant or other modification is named for this sample",discharge (reversible),stated,reversible discharge capacities of 114.5–168.8,,not_reported,no cycle index,0.1C,stated,b Voltage profiles tested at 0.1 C over 25–80 °C (cathode loading: 14.9 mg ­cm–2).,2.0–4.3 V,stated_elsewhere,ASSLB full-cells were tested at 60 °C (except for temperature-dependent tests) within a voltage range of 2.0–4.3 V,"all-solid-state full cell, Si/a-Sn/CoSi2/G/C anode",stated,"Sulfide-based ASSLB full-cells were assembled using the Si/a-Sn/CoSi2/G/C anode, LPSC SE",,not_reported,'over a wide temperature range of 25–80 °C'; neither endpoint is bound to a temperature,Li6PS5Cl (LPSC) sulfide solid electrolyte,stated,LPSC SE
v6-B3-11/2,v6-B3-11,2,PAPER 12,10.1007/s40820-026-02258-w,temperature,168.8 (upper end of a range),stated,114.5–168.8 mAh g–1 ... over a wide temperature range of 25–80 °C,NCM811,stated,an NCM811 composite cathode,,not_reported,"no coating, dopant or other modification is named for this sample",discharge (reversible),stated,reversible discharge capacities of 114.5–168.8,,not_reported,no cycle index,0.1C,stated,b Voltage profiles tested at 0.1 C over 25–80 °C (cathode loading: 14.9 mg ­cm–2).,2.0–4.3 V,stated_elsewhere,ASSLB full-cells were tested at 60 °C (except for temperature-dependent tests) within a voltage range of 2.0–4.3 V,"all-solid-state full cell, Si/a-Sn/CoSi2/G/C anode",stated,"Sulfide-based ASSLB full-cells were assembled using the Si/a-Sn/CoSi2/G/C anode, LPSC SE",,not_reported,'over a wide temperature range of 25–80 °C'; neither endpoint is bound to a temperature,Li6PS5Cl (LPSC) sulfide solid electrolyte,stated,LPSC SE
v6-B4-06/1,v6-B4-06,1,PAPER 22,10.1038/s41467-023-36853-x,temperature,190,stated,The rate capability of NCM811 cathode in our electrolyte exhibits high capacities of 190 and 163 mAh g−1 at 1C and 2C,NCM811,stated,NCM811 cathode,,not_reported,"no coating, dopant or other modification is named for this sample",,not_reported,'high capacities of 190 and 163 mAh g−1'; not labelled charge or discharge,,not_reported,rate-test step,1C,stated,"at 1C and 2C, respectively",3.0–4.6 V,stated_elsewhere,The Li|NCM811 cells were cycled at C/2 (1C = 200 mA g−1) charge/discharge between 3 and 4.6 V after the first three activation cycles at C/5 charge/discharge.,"half cell, Li metal",stated_elsewhere,The Li|NCM811 cells were cycled at C/2 (1C = 200 mA g−1) charge/discharge between 3 and 4.6 V after the first three activation cycles at C/5 charge/discharge.,25 °C,stated_elsewhere,cycling tests for coin cells ... were carried out on a Land instrument in the oven at 25 °C,1 M LiBF4 + 1 M LiDFOB in tFEP/FEC,stated_elsewhere,Performance of 4.6 V NCM811 and LiCoO2 cathode The compatibility of 1 M LiBF4 + 1 M LiDFOB tFEP/FEC electrolyte with high-voltage cathodes was evaluated using aggressive 4.6 V NCM811 and LiCoO2 cathode (Fig.
v6-B3-07/1,v6-B3-07,1,PAPER 24,10.20517/energymater.2023.59,electrolyte,160,stated,reversible discharge specific capacity retention (160 mAh g-1 after 200 cycles at 1 C rate),NCM811 (HR-NCM),stated,the NCM811 material with a higher primary particle length/width ratio,high primary-particle length/width ratio,stated,higher primary particle length/width ratio,discharge (reversible),stated,reversible discharge specific capacity,200,stated,after 200 cycles,1C,stated,at 1 C rate,2.7–4.3 V,stated_elsewhere,cycling stability of two cathodes at 1 C in the voltage range of 2.7–4.3 V,"half cell, Li metal",stated_elsewhere,CR2032-type half cells constructed using lithium metal as the anode,25 °C,stated_elsewhere,between 2.7 and 4.3 V (vs. Li/Li+) at 25 °C,1 M LiPF6 in EC/DEC/DMC (1:1:1 vol) + 5 wt% FEC,stated_elsewhere,The electrolyte used was 1 M LiPF6 in EC/DEC/DMC (1:1:1 Vol%) with 5 wt% FEC
v6-B2-08/1,v6-B2-08,1,PAPER 14,10.1002/sstr.202300247,temperature,167.6,stated,"NCMSe exhibited excellent rate capability, achieving a high discharge specific capacity of 167.6 mAh g−1 at 10 C",NCM811 (NCMSe),stated,NCMSe,selenium modification,stated,"the Se-modified NCM811 sample, denoted as NCMSe",discharge,stated,discharge specific capacity,,not_reported,rate-test step,10C,stated,at 10 C,2.7–4.5 V,stated_elsewhere,the half-cells were cycled within the range of 2.7–4.5 V,"half cell, Li metal",stated_elsewhere,The anode was made of lithium metal foil,,not_reported,no test temperature anywhere in the paper,1.0 M LiPF6 in EC:DEC 3:7 (wt),stated_elsewhere,"a solution of 1.0 M LiPF6 in ethylene carbonate: diethyl carbonate (EC: DEC, 3:7 by weight)"
v6-B2-03/1,v6-B2-03,1,PAPER 20,10.3389/fenrg.2022.973336,voltage_window,183.9,stated,"After 100 cycles, the discharge capacity still reached to 183.9 mAh g−1",single-crystal NCM811,stated,single crystal Nickel-rich LiNi0.8Co0.1Mn0.1O2 (NCM811),,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,the discharge capacity still reached to 183.9,100,stated,After 100 cycles,0.2C,stated,FIGURE 6 ... at a cut-off voltage of 2.7–4.8 V and a current density of 0.2 C,2.7–4.8 V,stated,at a cut-off voltage of 2.7–4.8 V,"half cell, Li metal",stated,Charge-discharge cycling performances of Li/NCM811 coin-cells,,not_reported,room temperature is given only for the pouch-cell tests; no temperature for the 4.8 V coin-cell cycling,1 M LiPF6 in MTFP/EMC/FEC 3:6:1 (v/v/v),stated,the NCM811 cells with 1 M LiPF6 MTFP/EMC/FEC
v6-B3-05/1,v6-B3-05,1,PAPER 30,10.3390/ma16103613,cell_type,158,stated,"After 200 cycles under 1C, the modified electrode of SCNCM/(ALP+BA)-1 has a reversible specific capacity of 158 mAh g−1",single-crystal NCM811 (SCNCM),stated,SCNCM/(ALP+BA)-1,aluminum triphosphate (ALP) + boric acid (BA) coating,stated,aluminum triphosphate (ALP) and boric acid (BA),,not_reported,the paper calls 158 mAh/g a 'reversible specific capacity' and never says charge or discharge; reading it as discharge is a convention,200,stated,After 200 cycles,1C,stated,under 1C,2.8–4.5 V,stated,h g-1) Cycle Number SCNCM SCNCM/(ALP+BA)−1 SCNCM/(ALP+BA)−2 1 C 2.8-4.5 V 25 °C 0 20 40 60 80 100 120 140 160 180 200 0 40 80 120 160 200 Specific capacity (mAh g-1) Cycle Number SCNCM SCNCM/(ALP+BA)−1 0 50 100 150 200,"half cell, Li foil",stated_elsewhere,The adopted separator between the cathode and the anode was a porous polypropylene ﬁlm (Celgard 2500) while lithium foil was used as the counter electrode,25 °C,stated,h g-1) Cycle Number SCNCM SCNCM/(ALP+BA)−1 SCNCM/(ALP+BA)−2 1 C 2.8-4.5 V 25 °C 0 20 40 60 80 100 120 140 160 180 200 0 40 80 120 160 200 Specific capacity (mAh g-1) Cycle Number SCNCM SCNCM/(ALP+BA)−1 0 50 100 150 200,1 M LiPF6 in EC/EMC/DMC 1:1:1 (wt),stated_elsewhere,"China, and is prepared by dissolving 1 mol L−1 LiPF6 in a ternary solvent of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and dimethyl carbonate (DMC) at a weight ratio of 1:1:1"
v6-B2-01/1,v6-B2-01,1,PAPER 08,10.1155/er/8863976,c_rate,205.79,stated,the discharge capacity of NMC811@cPAN has reached 205.79 mAh g−1,NMC811@cPAN,stated,NMC811@cPAN,PAN-derived carbon coating,stated,NMC811@cPAN,discharge,stated,the discharge capacity of NMC811@cPAN,,not_reported,0.2C recovery step of a rate test; no cycle index,0.2C,stated,When the current rate returns to 0.2 C,2.8–4.3 V,stated,within the voltage range from 2.8 to 4.3 V at 28°C (Figure 8b),"half cell, Li metal",stated_elsewhere,"To assemble the LIB half-cells, the fab- ricated cathode electrodes were paired with lithium metal foil as the anode",28 °C,stated,at 28°C (Figure 8b),1 M LiPF6 in EC/EMC/DEC 2:2:1 (wt) + 10 wt% FEC,stated_elsewhere,"The electrolyte used in the assembly was a 1M solution of lithium hexaﬂuorophosphate (LiPF6) dissolved in a solvent mixture of ethylene carbonate (EC), ethyl methyl carbonate (EMC), and diethyl carbonate (DEC) in a 2:2:1 weight ratio, with 10 wt% ﬂuoroethylene carbonate (FEC) additive"
v6-B2-11/1,v6-B2-11,1,PAPER 26,10.1016/j.jpowsour.2025.239058,capacity_type,~100,stated,with the material stabilizing at ~100 mAh g−1 by the 100th cycle,NMC811 (0.2 M metal-concentration synthesis),stated,The NMC811 produced at a metal concentration of 0.2 M,,not_reported,"no coating, dopant or other modification is named for this sample",,not_reported,'specific capacity'; never labelled charge or discharge,100,stated,by the 100th cycle,C/3 (after one C/10 activation cycle),stated_elsewhere,1) activation cycle at C/10 ... 2) the rest of the cycles at C/3,3.0–4.5 V,stated_elsewhere,voltage cut off 4.5–3.0,"half cell, Li metal",stated_elsewhere,coin-cell configuration using 12 mm diameter lithium metal as counter electrode,25 °C,stated_elsewhere,All cycling tests were conducted at 25 °C,"1 M LiPF6 in EC:DMC 1:1 (v/v), LP30",stated_elsewhere,"150 μl of 1M LiPF6 in EC:DMC 1:1(v:v), LP30"
